title,content0,content1,content2,content3,content4,content5,content6,content7,content8,content9,content10,content11,content12,content13,content14,content15,content16,content17
第1章 一碗清汤面一百金魂币？,武魂城最繁华的商业街上，夕阳西下，金辉洒满青石板路。,“我快饿死了，咱们赶紧找个地方吃饭吧。”,焱捂着干瘪肚子，刚结束一天高强度的修炼，此刻正跟胡列娜和邪月走在街上。,三人身为武魂殿黄金一代，平日里修炼强度极大，消耗的体力和魂力都远超常人。,“你就知道吃。”邪月白了他一眼，不过他的肚子也确实有些饿了，刚才修炼时还听到了咕噜声。,胡列娜轻笑一声：“你们俩半斤八两，刚才肚子一个比一个叫得响。”,正说着，一股前所未有的香味飘了过来。,不是普通饭菜的香味，而是那种能够直接刺激灵魂深处的神奇香气，让人忍不住想要寻找香味的来源。,三人几乎同时停下脚步，鼻翼微张，贪婪地嗅着空气中的香味。,“这什么味道？好香啊！”胡列娜眼睛都亮了。,焱吞了口唾沫：“我还从没闻过这么香的味道，这比武魂城顶级酒楼做的菜香多了！”,“我赞同。”邪月也认同这一点。,三人对视一眼，都从对方眼中看到了同样的渴望，下意识地跟着香味走到街道尽头，发现了一家装修古朴的小店。,店面不大，门头上挂着一块木质招牌，上面写着“枫染亭”三个字。,字迹苍劲有力，透着一股说不出的韵味。,“这家店我怎么从来没见过？”邪月疑惑道，“我们经常走这条路，按理说不应该错过啊。”,胡列娜也觉得奇怪：“确实，这条街我都走熟了，什么时候多了这么一家店？”,“管他呢，进去看看再说。”焱已经被香味勾得口水直流，哪还有心思思考这些问题。
第1章 一碗清汤面一百金魂币？,几人推门而入，店内装潢古朴雅致，几张实木桌椅整齐摆放，墙上挂着几幅山水画，给人一种闲适安宁的感觉。,空气中弥漫着淡淡的檀香味，与那诱人的食物香气混合在一起，形成了一种奇妙的氛围。,最吸引人注意的是柜台后面的年轻男子。,他穿着一身干净简洁的便装，正躺在藤制摇椅上打盹，黑发随意地搭在额前，五官精致清秀。,阳光透过窗户洒在他身上，整个人看起来慵懒而迷人。,胡列娜看清对方容貌后，眼神都亮了几分。,这个人，长得倒是挺符合她胃口的！（众所周知，胡列娜是个颜狗。）,不过当她仔细感知了一下，发现对方身上没有丝毫魂力波动后，又不禁有些失望。,没有魂力就不是魂师，和她注定不是一个世界的人。,真可惜，长得这么好看却是个普通人。,“客人？”,林枫像是才感受到有人进店，半睁开一只眼睛，语调慵懒得要命。,“菜单在桌子上，想吃什么直接点就行。”,说完又重新闭上眼睛，继续打盹，完全没有一般店主看到客人时的热情。,“这老板也太佛系了吧…”焱抽了抽嘴角，“做生意还能这么淡定的？”,邪月也觉得有趣：“第一次见到这么有个性的店主，不过这香味确实诱人。”,三人在桌边落座，胡列娜拿起桌上的菜单翻开，却发现里面一片空白。,
第1章 一碗清汤面一百金魂币？,“咦？怎么什么都没有？”她困惑地翻了几页，都是空白的。,正疑惑间，菜单上突然浮现出了字迹，就像是有隐形的手在上面书写一般。,“三级菜单”几个大字首先映入眼帘，字体飘逸洒脱，接着下面开始显示菜品和价格。,“清汤面…100金魂币！？”,胡列娜的声音瞬间拔高了八度，险些把菜单扔出去。,“凉拌黄瓜150金魂币！？开什么玩笑！”,要知道，100金魂币在普通人眼中已经是一笔天文数字了。,一枚金魂币就够一个三口之家三个月的开销，而这里一碗面条就要这个价？,“让我看看。”邪月接过菜单，眼珠子差点掉出来，“小葱拌豆腐200金魂币，油炸花生米300金魂币…这是抢钱吧！”,焱听到价格后脸色瞬间变得铁青，刚才还饿得前胸贴后背，现在却被这离谱的价格给气饱了。,“玛德，遇到黑店了！”,他猛地站起身，身上魂力开始暴动，强烈的火焰气息瞬间充斥整个店铺。,“武魂附体！”,火焰领主武魂释放，焱的身体表面燃起熊熊烈火，整个人变得高大威猛，气势狂暴无比。,“臭小子，你这是在坑爹呢！一碗面条100金魂币？我砸了你这黑店！”,说着焱就要朝着林枫走去，准备给这个不知天高地厚的店主一点颜色看看。在武魂城，还没有人敢这么明目张胆地坑人！,胡列娜和邪月都被焱的突然爆发吓了一跳，连忙想要阻止。,“焱，冷静一点！”
第1章 一碗清汤面一百金魂币？,“先别冲动，这里毕竟是人家的店！”,然而下一秒发生的事情，让三人彻底震惊了。,“不吃饭就滚出去。”,林枫眼皮都没睁开，只是不耐烦地咂了咂舌，声音依然懒洋洋的，仿佛焱的威胁对他来说不过是微风拂面。,但他话音刚落，一股无法抗拒的恐怖威压瞬间降临！,这威压强得离谱，不是普通魂师能够释放出来的那种威压，而是一种更加本质的压制，仿佛来自灵魂深处的恐惧。,焱连一秒钟都没坚持住，武魂竟然被硬生生压回了体内，整个人瞬间跪倒在地，口中喷出一口鲜血。,“这…这怎么可能！”,胡列娜和邪月脸色苍白，两人也在这股威压下浑身颤抖，勉强保持站立已经是极限了。,要知道焱的实力现在可是三十九级战魂尊，武魂附体状态下的他居然被对方的气势瞬间压制得吐血，这个看起来人畜无害的店主到底是什么级别的强者？,魂斗罗？还是…封号斗罗？,可这也太年轻了吧！看起来不过二十出头的样子，怎么可能有这种实力？,“对…对不起前辈！我们冒犯了！”,胡列娜连忙向林枫道歉，心中的震撼无以复加。,就连声音都在颤抖，再也没有了平时的从容。,一个看起来二十出头的年轻人，竟然有如此恐怖的实力！这完全颠覆了她对魂师修炼的认知。,闻言，林枫总算是睁开眼睛，那深邃的黑色瞳孔里透着淡漠，让胡列娜下意识地打了个寒颤。,
第1章 一碗清汤面一百金魂币？,“你们到底吃不吃饭？”他的语气依然懒散，但其中蕴含的威胁让人不敢忽视。,邪月回过神来，赶紧开口：“前辈恕罪，我们这就点菜！”,声音里带着明显的紧张和恐惧，哪还有刚才的质疑。,林枫这才收回威压，重新闭上眼睛，仿佛刚才什么都没发生过一样......,,,,,,,,,,,,,,
第2章 三根杂鱼韭菜，给点垃圾打发走得了,焱被邪月从地上扶起，擦了擦嘴角的血迹，眼中满是恐惧和不甘。,他从小到大还从未受过这样的屈辱，但面对绝对的实力差距，只能咬牙忍下。,“我们…我们点三碗清汤面。”,把焱搀扶回原来的座位后，邢月结结巴巴地下了单。,虽然价格离谱，但现在也只能认栽了，在小命面前，金钱已经不重要了。,“请稍等。”,林枫终于从躺椅上起身，动作依然慢条斯理，系上围裙，戴上厨师帽走进了厨房。,而此时的林枫，虽然表面上没什么表情，但内心却已经激动到快要尖叫了！,“哈哈哈，黄金一代终于来了！这可是能接触到封号斗罗级别的客人啊！”,“不枉我故意弄出香味把他们引来，这波稳了！”,林枫是从蓝星穿越到斗罗大陆的穿越者，带着一个叫做“诸天美食系统”的金手指，还有一家名为“枫染亭”的饭店。,在饭店内，林枫就是绝对的王者，哪怕是神祇降临也得乖乖遵守他的规矩。,更重要的是，卖出美食获得的收益能按照10:1的比例兑换成美食积分，用来购买诸天万界的各种奖励。,从斗罗特产的仙草魂骨，到异界奇珍的异火写轮眼，甚至连奥特曼变身器都有！,对于前世就是专业厨师的林枫来说，做菜自然不在话下。,他本以为能借此走上人生巅峰，左拥千仞雪右抱比比东，顺便把唐神王踩在脚下。,可现实却给了他一记响亮的耳光。,就因为这该死的价格定位！
第2章 三根杂鱼韭菜，给点垃圾打发走得了,一碗清汤面100金魂币，哪怕是那些有钱的魂师，看到菜单后也会觉得这是在抢钱。,所以整整一个星期，林枫的饭店连一个客人都没有。,每天就是躺在摇椅上发呆，偶尔释放点香味想要引客人上门，结果人家闻香而来，看到价格后扭头就走。,眼看着系统商城里那些诱人的奖励，林枫只能望洋兴叹。,没有客人消费就没有美食积分，没有美食积分就兑换不了任何东西，这简直是要逼死他这个穿越者啊！,不过好在今天终于让他逮到了了胡列娜三人。,武魂殿黄金一代，背景够硬，实力够强，最关键的是应该不差钱！,相信从今天开始，他饭店的名声就要在武魂殿内部传开了。,想到这里，林枫嘴角不禁上扬。,等比比东等一众封号斗罗亲自光临时，那才是真正的大客户啊！,一想到这里，林枫就干劲满满！,他来到满是现代化物品的后厨，熟练地开火煮面。,同时切葱花香菜分别放入三个碗中，加上食盐、鸡精、生抽酱油、虾皮，最后的关键，适量的猪油！,这也是清汤面好吃的关键！,最后再把煮好的面条装入三个碗里，三碗清汤面，搞定！,仅仅几分钟时间，林枫就端着三碗面条走了出来。,看起来就是普通的清汤面，面条晶莹剔透，汤水清澈见底，上面飘着一层金黄的油花，撒着一把香菜和虾皮。,
第2章 三根杂鱼韭菜，给点垃圾打发走得了,但是那香味…...,三人几乎同时咽了口唾沫。,这香味太霸道了，直接征服了他们的嗅觉，让人忍不住想要立刻品尝，就连刚才的恐惧竟然在这香味面前退却了几分。,“慢用。”林枫淡淡说道，重新回到摇椅上。,胡列娜小心翼翼地夹起一筷子面条，吸入口中。,瞬间！,一种前所未有的美味在口腔中爆发！,不仅仅是味觉上的享受，更是灵魂层面的升华！,面条Q弹有劲，清汤鲜美无比，每一口都让人感觉到无与伦比的满足感，仿佛灵魂都得到了升华。,焱和邪月也是同样的表情，三人埋头狂吃，连说话都顾不上了。,什么恐惧，什么威压，此刻都被这美味驱散了。,“真…真香…”,短短几分钟，三碗面条就被一扫而空。,焱甚至还舔了舔碗底，一点汤都不想浪费。,“太好吃了！”胡列娜靠在椅子上，脸上露出幸福的表情，“我从来没想过一碗清汤面能这么美味！”,焱和邪月也是纷纷点头赞同，三人脸上都带着满足的表情。,“一共三百金魂币，感谢惠顾。”,这时，林枫的声音从柜台后传了过来。
第2章 三根杂鱼韭菜，给点垃圾打发走得了,三人脸上的满足瞬间凝固，取而代之的是一脸肉疼。,这面条好吃是好吃，但也是真的贵啊！,虽然他们身为黄金一代不缺钱，但也不是这么造的啊。,三百金魂币！够他们在大酒楼吃好几天大餐了！,“早知道就不进来了。”焱小声嘀咕着，但声音里却带着一丝不舍。,说是后悔，但如果再让他选一次，他估计还是会进来。,邪月无奈走到柜台前，从魂导器里取出三个小布包放在林枫面前。,这才转过身，准备和其他两人一起逃离这个让他们又爱又恨的地方。,“别走。”,这两个字一出，三人的脚步瞬间僵住，焱的手都伸到门把手上了，整个人像被定身咒定住一样。,胡列娜转过身，脸上挤出一个比哭还难看的笑容：“前辈，您还有什么吩咐？”,只不过她的心里却在疯狂吐槽：该不会嫌我们消费太少了吧？三百金魂币还不够？要不要这么黑啊！,不过林枫下一句话就让三人重新放心下来。,只见林枫懒洋洋的抬起手，声音带着一种说不出的慵懒：“给你们抽个奖。”,“抽奖？”三人齐刷刷地回头，眼中闪过一丝好奇和期待。,难道这黑心老板还有点良心，准备给他们点补偿？,林枫嘴角微微上扬，露出一个神秘的笑容。,
第2章 三根杂鱼韭菜，给点垃圾打发走得了,他慢悠悠地从摇椅上坐起身，看向系统面板。,【消费：100（平均消费）。】,【系统评价：扣扣搜搜的三根杂鱼韭菜，随便给点垃圾奖励打发走得了！】,【随机奖励：魂力微弱提升*3】,【宿主奖励：美食积分30】,看到系统的评价和奖励，林枫的表情僵硬了一瞬。,他怎么感觉这系统比他还势利眼呢？蚊子再小也是肉啊！,看见胡列娜三人还在眼巴巴的盯着自己，林枫干咳一声，平静道：“你们运气不好，安慰奖，魂力微弱提升。”,话音刚落，三道金色光点从林枫指尖飞出，分别没入三人体内。,胡列娜只觉得一股温和的暖流从丹田升起，如春风化雨般滋润着她的经脉。,她瞪大眼睛，难以置信地感受着体内的魂力正以惊人的速度增长。,几乎是，眨眼间便从三十九级升到了四十级。,“我…我突破了？”胡列娜声音都在颤抖，低头看着自己的双手，感受着体内澎湃的魂力，整个人都有些晕乎乎的。,邪月和焱也同样震撼。,虽然他们没有像胡列娜那样直接突破，但体内的魂力也有了明显的提升。,原本需要苦修数月才能积累的魂力，竟然在瞬间就达到了。,最终，回过神来的胡列娜咽了口唾沫，颤声问道：”敢问前辈您是.....“,
第3章 抽奖升级？菊斗罗表示不信,“我不过就是个开饭店的普通老板而已。”,林枫淡定的摇了摇，语气平静的像一潭湖水。,那副云淡风轻的模样，让胡列娜三人嘴角一阵抽搐。,开饭店的老板？,就您这实力，说是神都有人信好吧！,随手一指就能让我们魂力提升，这叫开饭店的普通老板？,那他们武魂殿的封号斗罗，岂不是只能在您这当保安？,“这是我饭店的规矩，吃饭送抽奖。”林枫的声音依旧懒散。,“抽奖？”邪月重复着这个词，眼中满是不敢置信，“您是说，只要在这里吃饭，就能获得魂力提升？”,“不一定。”林枫重新躺回摇椅，声音平淡，“看运气，有时候是魂力提升，有时候是别的奖励。”,焱挠了挠头，声音还有些颤抖：“那...那如果点更贵的菜，奖励会更好吗？”,听到这个问题，林枫嘴角露出一个意味深长的笑容。,这小火人虽然冲动，但脑子转得还挺快。,“当然。”他慢悠悠地说道，“消费越高，奖池等级越高，能抽到的奖励自然也就越好。”,“不过你们现在的实力，也就只能看三级菜单。想吃更高级的？先把实力提上去再说。”,三人对视一眼，都从对方眼中看到了震撼。,如果这个年轻店主说的都是真的，那这家饭店简直就是魂师修炼的圣地啊！,魂力提升这种事情，对任何魂师来说都是梦寐以求的。
第3章 抽奖升级？菊斗罗表示不信,哪怕是武魂殿的各种天材地宝，也未必能有如此立竿见影的效果。,“那...那我们先告辞了。”胡列娜勉强镇定下来，向林枫微微欠身，“多谢前辈赐予的奖励。”,“慢走不送。”林枫挥了挥手，重新闭上眼睛。,走出饭店，三人对视一眼，都从彼此眼中看到了同样的想法。,这件事，必须立刻上报给武魂殿高层！,如果真如那位神秘店主所说，消费越高奖励越好，那武魂殿岂不是能在短时间内实力暴涨？,想到这里，三人再也坐不住了。,“走！赶紧回教皇殿！”胡列娜当机立断，“这种大事必须马上汇报给老师！”,三人离开之前，齐刷刷回头看了一眼那家古朴的小店。,“枫染亭”三个字在夕阳下显得格外醒目，仿佛在提醒着他们刚才经历的一切都不是梦。,“我们明天还来吗？”焱低声问道。,“来！当然要来！”胡列娜毫不犹豫，“就冲这魂力提升的效果，就算砸锅卖铁我也要天天来吃！”,邪月深以为然地点头：“说得对，这种机缘可遇不可求。”,三人说着便匆匆离去，身影很快消失在街道尽头。,林枫自然听到了胡列娜三人的谈话，见几人离开后，差点没高兴得笑出猪叫声。,漂亮！,就是这样！,
第3章 抽奖升级？菊斗罗表示不信,赶紧回武魂殿把我的韭菜......啊不是，把封号斗罗都叫来！,让他们来我这里消费！,这样我就可以赚取大量的美食积分了，那样走上人生巅峰还远吗？,想到比比东那个教皇级别的大客户，还有那些封号斗罗长老们，林枫心里乐开了花。,一个封号斗罗随便点几个九级菜单的菜，那得是多少美食积分啊！,不过为了维持住高人形象，林枫还是强忍着没有表现出来，依旧躺在摇椅上装出一副云淡风轻的样子。,“系统，今天收获怎么样？”虽然林枫知道今天就赚了三十积分，但他还是忍不住在心中询问。,【今日营业额：300金魂币】,【美食积分获得：30点】,【系统评价：虽然开了张，但这点积分连个小玩意都买不起，继续努力吧，杂鱼店主！】,林枫嘴角抽了抽。,这破系统，真是哪壶不开提哪壶。,不过没关系，等比比东她们来了，看我怎么把积分刷爆！,想到这里，林枫心情大好，哼着小曲继续躺在摇椅上，等待着明天更多的“韭菜”上门。,......,胡列娜三人一路狂奔，恨不得长出翅膀直接飞回教皇殿。,“快快快！这么大的事儿不能耽搁！”,焱跑得满头大汗，但想到刚才体内魂力的变化，整个人都兴奋得不行。
第3章 抽奖升级？菊斗罗表示不信,三人火急火燎地冲到教皇殿前，守门的护卫都被吓了一跳。,“这三人咋了？被魂兽追杀了？”,“快去通报老师！我们要见教皇冕下！”胡列娜顾不上仪态，直接对侍卫喊道。,侍卫面露难色：“胡列娜小姐，教皇冕下正在闭关，任何人都不得打扰…”,“什么？！”,三人脸色瞬间垮了。,这时候闭关？早不闭关晚不闭关，偏偏这个时候！,焱急得直打转：“完了完了，这么大的功劳不能第一时间汇报，万一被别人抢先…”,“别慌！”邪月眼珠一转，“咱们找菊长老！”,没错，菊斗罗月关虽然不是教皇，但作为教皇座下哼哈二将之一，在武魂殿的地位也是举足轻重。,三人立刻改变方向，直奔月关居住的庭院。,他们也顾不上什么礼仪之类的了，直接就推门而入。,“菊长老！”,胡列娜三人一冲进院子，就看到菊斗罗正拿着金色小剪刀，在几乎中种满了整个院子的花园里为花修剪枝叶。,那动作叫一个优雅，兰花指微翘，姿态妖娆得让人不忍直视。,“哎呀，什么风把你们三个小家伙给吹来了？”,月关头都没抬，继续专心致志地修剪着花朵，声音娇柔得让人起鸡皮疙瘩。,
